typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,902230,X-ray tubes,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,132.668,TRUE,-1,N/A,0,FALSE,13528.051,TRUE,,FALSE,2494936.452,,2494936.452,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,902890,"Meters; parts and accessories of gas, liquid, electricity supply or production meters, including calibrating meters thereof",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1033203.816,TRUE,-1,N/A,0,FALSE,1033203.816,TRUE,,FALSE,14180551.06,,14180551.06,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,902990,"Meters and counters; parts and accessories for revolution and production counters, taximeters, mileometers, pedometers and the like; speed indicators, tachometers (excluding heading no. 9015), stroboscopes",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5244.741,TRUE,-1,N/A,0,FALSE,5244.741,TRUE,,FALSE,500800.626,,500800.626,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,900630,"Cameras, photographic (excluding cinematographic); specially designed for underwater use, aerial survey, medical or surgical examination of internal organs; comparison cameras for forensic or criminological use",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,,TRUE,,FALSE,167733.543,,167733.543,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,9013,"Liquid crystal devices not constituting articles provided for more specifically in other headings; lasers, not laser diodes; other optical appliances and instruments n.e.c. in this chapter",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,210239.52,TRUE,,FALSE,146790050.2,,146790050.2,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,903110,Machines; for balancing mechanical parts,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,337188.684,TRUE,,FALSE,8983211.229,,8983211.229,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,900691,"Cameras, photographic (excluding cinematographic); parts and accessories",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,349960.681,TRUE,-1,N/A,0,FALSE,349960.681,TRUE,,FALSE,1743468.846,,1743468.846,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,900510,Binoculars,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,71937.697,TRUE,,FALSE,3431737.623,,3431737.623,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,901841,"Dental instruments and appliances; dental drill engines, whether or not combined on a single base with other dental equipment",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,77894.309,TRUE,-1,N/A,0,FALSE,77894.309,TRUE,,FALSE,2173602.717,,2173602.717,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,901010,Photographic laboratory apparatus and equipment; for automatically developing photographic (including cinematographic) film or paper in rolls or for automatically exposing developed film to rolls of paper,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,1381.709,TRUE,,FALSE,81866.769,,81866.769,0,FALSE,TRUE
