typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,852910,Reception and transmission apparatus; aerials and aerial reflectors of all kinds and parts suitable for use therewith,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2116032.918,TRUE,-1,N/A,0,FALSE,2116032.918,TRUE,,FALSE,122171886,,122171886,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,852352,"Semiconductor media; smart cards, whether or not recorded, excluding products of Chapter 37",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,458433.247,TRUE,,FALSE,47713926.31,,47713926.31,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,852721,"Radio-broadcast receivers not capable of operating without an external source of power, of a kind used in motor vehicles; combined with sound recording or reproducing apparatus",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,125528.589,TRUE,-1,N/A,0,FALSE,308000,FALSE,,FALSE,13372016.72,,13372016.72,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,851930,Sound recording or reproducing apparatus; turntables (record-decks),6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,248822.694,TRUE,-1,N/A,0,FALSE,470197.286,TRUE,,FALSE,21259226.57,,21259226.57,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,850132,"Electric motors and generators; DC, of an output exceeding 750W but not exceeding 75kW",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,2145482.216,TRUE,,FALSE,27587234.48,,27587234.48,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,853339,"Electrical resistors; wirewound variable, including rheostats and potentiometers, for a power handling capacity exceeding 20W (excluding heating)",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,25000,FALSE,8,kg,25000,FALSE,25000,FALSE,,FALSE,485867.274,,485867.274,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,850240,Electric rotary converters,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,55410.542,TRUE,,FALSE,1436001.795,,1436001.795,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,851290,"Lighting or signalling equipment; electrical, (excluding articles of heading no. 8539), windscreen wipers, defrosters and demisters; parts, of those kinds used for cycles or motor vehicles",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3866905.658,TRUE,-1,N/A,0,FALSE,3866905.658,TRUE,,FALSE,47463526,,47463526,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,80905.029,TRUE,,FALSE,11808814.76,,11808814.76,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,851981,"Sound recording or reproducing apparatus; using magnetic, optical or semiconductor media, n.e.c. in item no 8519.20, 8519.30 or 8519.50",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,28452.426,TRUE,-1,N/A,0,FALSE,119982.15,TRUE,,FALSE,2206136.091,,2206136.091,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,851830,"Headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,1361128.37,TRUE,,FALSE,51248064.06,,51248064.06,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,854430,"Insulated electric conductors; ignition wiring sets and other wiring sets of a kind used in vehicles, aircraft or ships",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1281544.287,TRUE,-1,N/A,0,FALSE,1281544.287,TRUE,,FALSE,13487216.86,,13487216.86,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,850520,"Magnets; electro-magnetic couplings, clutches and brakes",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,250151.037,TRUE,-1,N/A,0,FALSE,250151.037,TRUE,,FALSE,3162137.286,,3162137.286,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,853890,"Electrical apparatus; parts suitable for use solely or principally with the apparatus of heading no. 8535, 8536 or 8537",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,15642423.9,TRUE,-1,N/A,0,FALSE,15642423.9,TRUE,,FALSE,308657452.5,,308657452.5,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,8506,Cells and batteries; primary,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,4414372.891,TRUE,,FALSE,34034175.88,,34034175.88,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,853210,"Electrical capacitors; fixed, designed for use in 50/60 Hz circuits and having a reactive power handling capacity of not less than 0.5 kvar (power capacitors)",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1252475.336,TRUE,-1,N/A,0,FALSE,1252475.336,TRUE,,FALSE,17820822.28,,17820822.28,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,850410,Discharge lamps or tubes; ballasts therefor,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,4130851.339,TRUE,-1,N/A,0,FALSE,11684067.26,TRUE,,FALSE,36580045.73,,36580045.73,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,853922,"Lamps; filament, (excluding ultra-violet or infra-red), of a power not exceeding 200W and for a voltage exceeding 100 volts, other than tungsten halogen",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,4632131.565,TRUE,-1,N/A,0,FALSE,402000,FALSE,,FALSE,1897869.039,,1897869.039,0,FALSE,TRUE
