typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,841459,Fans; n.e.c. in item no. 8414.51,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,6653164.996,TRUE,,FALSE,48890461.11,,48890461.11,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,842382,Weighing machines; having a maximum weighing capacity exceeding 30kg but not exceeding 5000kg,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,155128.89,TRUE,,FALSE,1338401.673,,1338401.673,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,8455,Metal-rolling mills and rolls therefor,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,6979583.446,TRUE,,FALSE,40725650.91,,40725650.91,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,846694,"Machine-tools; parts and accessories, for the machines of heading no. 8462 or 8463, n.e.c. in heading no. 8466",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1323757.468,TRUE,-1,N/A,0,FALSE,1323757.468,TRUE,,FALSE,70872888.59,,70872888.59,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,841181,"Turbines; gas-turbines (excluding turbo-jets and turbo-propellers), of a power not exceeding 5000kW",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,4.371,TRUE,-1,N/A,0,FALSE,1046.089,TRUE,,FALSE,798934.332,,798934.332,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,8421,"Centrifuges, including centrifugal dryers; filtering or purifying machinery and apparatus for liquids or gases",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,52201053.88,TRUE,,FALSE,754749476.8,,754749476.8,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,848020,"Mould bases; for metal, metal carbides, glass, mineral materials, rubber or plastics",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,213000,FALSE,8,kg,213000,FALSE,213000,FALSE,,FALSE,1280268.267,,1280268.267,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,843210,Ploughs; for soil preparation,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,55.906,TRUE,-1,N/A,0,FALSE,57000,FALSE,,FALSE,693067.533,,693067.533,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,846320,"Machine-tools; for working metal, sintered metal carbides or cermets, without removing material, thread rolling machines",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,27000,FALSE,,FALSE,208800.261,,208800.261,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,8445,"Textile machinery; spinning, doubling, twisting machines, textile reeling or winding machines and machines for preparing textile yarns for use on machines of heading no. 8446 and 8447",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,167.521,TRUE,-1,N/A,0,FALSE,1013774.92,TRUE,,FALSE,8289877.029,,8289877.029,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,841210,"Engines; reaction engines, other than turbo-jets",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,86196.186,TRUE,,FALSE,34797376.83,,34797376.83,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,843069,"Machinery; for moving, levelling, scraping, grading, excavating earth minerals or ores; not self propelled n.e.c in 84.30",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,1033600.415,TRUE,,FALSE,8054676.735,,8054676.735,0,FALSE,TRUE
