typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20180101","2018","52","2018","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","690722","Ceramic tiles; flags and paving, hearth or wall tiles other than those of subheadings 6907.30 and 6907.40, of a water absorption coefficient by weight over 0.5% but not over 10%","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","2","m²","31.695","true","8","kg","58","false","58","false","0","false","241","0","241","2","true","false",
"C","A","20180101","2018","52","2018","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","6910","Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","66.452","true","-1","N/A","0","false","214","false","0","false","3614","0","3614","2","false","true",
"C","A","20180101","2018","52","2018","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","691010","Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures; of porcelain or china","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","66.452","true","8","kg","214","false","214","false","0","false","3614","0","3614","2","true","false",
"C","A","20180101","2018","52","2018","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","6911","Tableware, kitchenware, other household articles and toilet articles; of porcelain or china","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1769","false","8","kg","1769","false","1769","false","0","false","11437","0","11437","0","false","true",
"C","A","20180101","2018","52","2018","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","691110","Tableware and kitchenware; of porcelain or china","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1769","false","8","kg","1769","false","1769","false","0","false","11437","0","11437","0","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","69","Ceramic products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","8119","0","8119","0","false","true",
"C","A","20190101","2019","52","2019","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","6910","Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","142.199","true","-1","N/A","0","false","510","false","0","false","6495","0","6495","2","false","true",
"C","A","20190101","2019","52","2019","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","691010","Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures; of porcelain or china","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","142.199","true","8","kg","510","false","510","false","0","false","6495","0","6495","2","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","6911","Tableware, kitchenware, other household articles and toilet articles; of porcelain or china","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","226","false","8","kg","226","false","226","false","0","false","1624","0","1624","0","false","true",
"C","A","20190101","2019","52","2019","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","691110","Tableware and kitchenware; of porcelain or china","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","226","false","8","kg","226","false","226","false","0","false","1624","0","1624","0","true","false",
"C","A","20200101","2020","52","2020","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","69","Ceramic products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1465","0","1465","0","false","true",
"C","A","20200101","2020","52","2020","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","6910","Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","25.232","true","-1","N/A","0","false","132","false","0","false","1309","0","1309","2","false","true",
"C","A","20200101","2020","52","2020","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","691010","Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures; of porcelain or china","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","25.232","true","8","kg","132","false","132","false","0","false","1309","0","1309","2","true","false",
"C","A","20200101","2020","52","2020","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","6911","Tableware, kitchenware, other household articles and toilet articles; of porcelain or china","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6","false","8","kg","6","false","6","false","0","false","156","0","156","0","false","true",
"C","A","20200101","2020","52","2020","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","691110","Tableware and kitchenware; of porcelain or china","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6","false","8","kg","6","false","6","false","0","false","156","0","156","0","true","false",
"C","A","20210101","2021","52","2021","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","69","Ceramic products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","5821",,"5821","0","false","true",
"C","A","20210101","2021","52","2021","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","6905","Roofing tiles, chimney-pots, cowls, chimney liners, architectural ornaments and other ceramic constructional goods","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11","false","8","kg","11","false","11","false","0","false","244",,"244","0","false","true",
"C","A","20210101","2021","52","2021","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","690590","Ceramic chimney-pots, cowls, chimney liners, architectural ornaments and other constructional goods (excluding roofing tiles)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11","false","8","kg","11","false","11","false","0","false","244",,"244","0","true","false",
"C","A","20210101","2021","52","2021","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","6910","Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","10","false","5","u","10","false","225","false","0","false","5577",,"5577","0","false","true",
"C","A","20210101","2021","52","2021","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","691010","Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures; of porcelain or china","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","10","false","5","u","10","false","225","false","0","false","5577",,"5577","0","true","false",
