typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,732611,"Iron or steel; grinding balls and similar articles for mills, forged or stamped, but not further worked",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4009000,FALSE,8,kg,4009000,FALSE,4009000,FALSE,,FALSE,4623739.113,,4623739.113,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,73,Iron or steel articles,2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,TRUE,,FALSE,4479547999,,4479547999,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,731813,Iron or steel; threaded screw hooks and screw rings,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,599383.224,TRUE,-1,N/A,0,FALSE,599383.224,TRUE,,FALSE,3096003.87,,3096003.87,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,730439,"Iron or non-alloy steel (excluding cast iron); seamless, (excluding cold-drawn or cold-rolled), tubes, pipes and hollow profiles of circular cross-section",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,21881000,FALSE,8,kg,21881000,FALSE,21881000,FALSE,,FALSE,38474981.43,,38474981.43,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,731512,"Chain; articulated link, (other than roller), of iron or steel",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3546629.179,TRUE,-1,N/A,0,FALSE,3546629.179,TRUE,,FALSE,7978409.973,,7978409.973,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,7325,Iron or steel; cast articles,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,42414276.7,TRUE,-1,N/A,0,FALSE,42414276.7,TRUE,,FALSE,49221128.19,,49221128.19,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,730629,"Iron or steel (excluding cast iron); casing and tubing of a kind used in drilling for oil and gas (other than stainless steel or seamless), n.e.c. in chapter 73",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9573000,FALSE,8,kg,9573000,FALSE,9573000,FALSE,,FALSE,22976028.72,,22976028.72,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,731449,"Iron or steel wire; grill, netting and fencing, coated with materials other than zinc or plastic",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5924764.151,TRUE,-1,N/A,0,FALSE,5924764.151,TRUE,,FALSE,10773080.13,,10773080.13,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,731419,"Iron or steel; woven cloth, other than of stainless steel",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2087000,FALSE,8,kg,2087000,FALSE,2087000,FALSE,,FALSE,2705603.382,,2705603.382,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,730621,"Steel, stainless; casing and tubing of a kind used in drilling for oil and gas, n.e.c. in chapter 73, welded, (not seamless)",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,413000,FALSE,8,kg,413000,FALSE,413000,FALSE,,FALSE,4255738.653,,4255738.653,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,730791,"Iron or steel; tube or pipe fittings, flanges, other than stainless steel",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,27100363,TRUE,-1,N/A,0,FALSE,27100363,TRUE,,FALSE,85344106.68,,85344106.68,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,730719,"Iron or steel; cast fittings, other than of non-malleable cast iron",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,12307000,FALSE,8,kg,12307000,FALSE,12307000,FALSE,,FALSE,33661108.74,,33661108.74,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,730120,"Iron or steel; angles, shapes and sections, welded",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,36319379.39,TRUE,-1,N/A,0,FALSE,36319379.39,TRUE,,FALSE,26712833.39,,26712833.39,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,7306,"Iron or steel (excluding cast iron); tubes, pipes and hollow profiles (not seamless), n.e.c. in chapter 73",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,155726977.6,TRUE,-1,N/A,0,FALSE,155726977.6,TRUE,,FALSE,228874152.8,,228874152.8,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,731010,"Tanks, casks, drums, cans, boxes and similar containers, for any material (excluding compressed or liquefied gas), 50l or more capacity but not exceeding 300l",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1175000,FALSE,8,kg,1175000,FALSE,1175000,FALSE,,FALSE,11192280.66,,11192280.66,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,730890,"Iron or steel; structures and parts thereof, n.e.c. in heading 7308",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,228490777.8,TRUE,-1,N/A,0,FALSE,228490777.8,TRUE,,FALSE,478865398.6,,478865398.6,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,732190,"Domestic appliances; non-electric, parts thereof, of iron or steel",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2792755.7,TRUE,-1,N/A,0,FALSE,2792755.7,TRUE,,FALSE,7904009.88,,7904009.88,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,7320,"Springs and leaves for springs, of iron or steel",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11187397.57,TRUE,-1,N/A,0,FALSE,11187397.57,TRUE,,FALSE,24914697.81,,24914697.81,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,730449,"Steel, stainless; (excluding cold-drawn or cold-rolled), tubes pipes and hollow profiles of circular cross-section",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5303154.603,TRUE,-1,N/A,0,FALSE,5303154.603,TRUE,,FALSE,30077370.93,,30077370.93,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,730799,"Iron or steel; tube or pipe fittings, n.e.c. in item no. 7307.9, other than stainless steel",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,51671559.45,TRUE,-1,N/A,0,FALSE,51671559.45,TRUE,,FALSE,212396265.5,,212396265.5,0,FALSE,TRUE
